kind,esp_t_us,sentence,utc,status_or_quality,lat_deg,lon_deg,altitude_m,speed_kn,course_deg,date_ddmmyy,satellites,hdop,checksum_ok
RMC,28587320,GNRMC,091858.000,A,26.03046227,119.19306183,,0.000,347.980,060726,,,1
GGA,28977214,GNGGA,091859.000,1,26.03046227,119.19306183,36.300,,,,12,0.90,1
RMC,29607323,GNRMC,091859.000,A,26.03046227,119.19306183,,0.000,347.980,060726,,,1
GGA,29997214,GNGGA,091900.000,1,26.03046227,119.19306183,36.300,,,,12,0.90,1
RMC,30627318,GNRMC,091900.000,A,26.03046227,119.19306183,,0.000,347.980,060726,,,1
GGA,31017221,GNGGA,091901.000,1,26.03046227,119.19306183,36.300,,,,11,0.90,1
RMC,31647316,GNRMC,091901.000,A,26.03046227,119.19306183,,0.000,347.980,060726,,,1
GGA,32037218,GNGGA,091902.000,1,26.03046227,119.19306183,36.300,,,,11,0.90,1
RMC,32657321,GNRMC,091902.000,A,26.03046227,119.19306183,,0.000,347.980,060726,,,1
GGA,32927232,GNGGA,091903.000,1,26.03046036,119.19306946,36.300,,,,11,0.90,1
RMC,33557322,GNRMC,091903.000,A,26.03046036,119.19306946,,0.000,347.980,060726,,,1
GGA,33947216,GNGGA,091904.000,1,26.03046036,119.19306946,36.300,,,,12,0.90,1
RMC,34577327,GNRMC,091904.000,A,26.03046036,119.19306946,,0.000,347.980,060726,,,1
GGA,34977219,GNGGA,091905.000,1,26.03046036,119.19306946,36.300,,,,13,0.80,1
RMC,35607324,GNRMC,091905.000,A,26.03046036,119.19306946,,0.000,347.980,060726,,,1
GGA,35997216,GNGGA,091906.000,1,26.03046036,119.19306946,36.300,,,,13,0.80,1
RMC,36627317,GNRMC,091906.000,A,26.03046036,119.19306946,,0.000,347.980,060726,,,1
GGA,37017213,GNGGA,091907.000,1,26.03046036,119.19306946,36.300,,,,12,0.90,1
RMC,37657317,GNRMC,091907.000,A,26.03046036,119.19306946,,0.000,347.980,060726,,,1
GGA,38047216,GNGGA,091908.000,1,26.03045845,119.19306946,36.300,,,,12,0.90,1
RMC,38677321,GNRMC,091908.000,A,26.03045845,119.19306946,,0.000,347.980,060726,,,1
GGA,38947226,GNGGA,091909.000,1,26.03045845,119.19306946,36.300,,,,12,0.90,1
RMC,39577322,GNRMC,091909.000,A,26.03045845,119.19306946,,0.000,347.980,060726,,,1
