t_s,eskf_roll_deg,eskf_pitch_deg,eskf_yaw_deg,eskf_bgx_dps,eskf_bgy_dps,eskf_bgz_dps,eskf_gx_body,eskf_gy_body,eskf_gz_body
416.587,-0.7330449562719735,-2.2934518634813257,-0.00019618405779556417,3.640664957410318e-08,4.1544319750923074e-08,-9.266438975220854e-10,0.04001759779839508,-0.012783450945651906,0.9991171979544572
416.697,-0.791333002050185,-2.2896784607358507,-0.016169036847835612,0.005980267606482917,0.003937996301865534,-0.00018474922824644383,0.039951792163884704,-0.013799900746643222,0.9991063091794969
416.807,-0.6955269731872517,-2.26947589406821,-0.05212187005633017,0.0011285946956095826,0.011886551499465709,0.0001165543681883655,0.03959946989583204,-0.012129416201521536,0.9991420115512005
416.917,-0.6400348217362857,-2.3083920823179227,-0.08340008419741834,0.004778078928983957,0.04175509218433171,0.00032234304564526204,0.04027814357258416,-0.011161417869320405,0.99912616515708
417.027,-0.5901288447300469,-2.1922897477096224,-0.1017905338476475,0.015483949593595135,0.02572000053040279,-0.00030808202297734767,0.03825333864053318,-0.010291970760680325,0.9992150706533174
417.137,-0.5430573499785087,-2.1627242089368957,-0.1318627904789494,0.025507473520094866,0.04966417316408244,-0.0004340417107713509,0.037737695259746316,-0.009471245501622736,0.9992427942522931
417.247,-0.5194692056529504,-2.0890829585398447,-0.15845594957788126,0.05306976720590166,0.05656625382753305,-0.0014503801205937538,0.0364532976911996,-0.009060297928234177,0.9992942850276331
417.357,-0.44430183724591527,-2.131787877316074,-0.19209070539165837,0.04241654004898183,0.13728761241984666,-0.0001275577439855444,0.03719813355068517,-0.007749085436654971,0.9992778645278003
417.467,-0.40501577629080077,-2.099429955799658,-0.2199137314869034,0.06250688563541293,0.1653110024738188,-0.0006944517824335422,0.03663376623847479,-0.0070640550753107625,0.9993037907949103
417.577,-0.39096357926726205,-2.103212400725121,-0.2495750309045868,0.0981348744945276,0.21314564598036764,-0.0017155419863785775,0.03669973796355334,-0.006818951993308101,0.9993030727097357
417.687,-0.40041361543629994,-2.0815803117221683,-0.2717037967740956,0.15566056881418747,0.24869279916156603,-0.00378954893570841,0.03632243852164295,-0.006983867533035075,0.999315718906754
417.797,-0.4613939584264943,-2.0562656882940202,-0.2838298949982157,0.2470633110710543,0.2641749386075157,-0.007503815781618016,0.03588090301246876,-0.008047571301284214,0.9993236699864366
417.907,-0.4508217926325883,-2.0614198962471013,-0.3120447291169533,0.2725736271108509,0.30510063253796244,-0.007887672455220693,0.035970802839966474,-0.007863151430266741,0.9993219061907094
418.017,-0.44088439483702485,-2.05451882137487,-0.34056131619848634,0.2944776992674913,0.3359886562674415,-0.008317752138153925,0.03585043404888056,-0.007689861893468396,0.9993275801270404
418.127,-0.4658847359225005,-2.0034254857460887,-0.3632628144194991,0.3467855479844415,0.33616839559075,-0.010592140343163775,0.034959246224824235,-0.008126162728561748,0.9993557007305762
418.237,-0.4689954032208951,-1.982959251391416,-0.39602923441799,0.37583355307359967,0.3512460265962945,-0.011496588058678384,0.03460225917161089,-0.008180520816964798,0.9993676814563216
418.347,-0.5176251343042058,-2.0536035135827246,-0.4239224948307563,0.42418259252117246,0.4314152381193305,-0.011836036083434719,0.03583446917901511,-0.009028337717909877,0.999316956694276
418.457,-0.50382779786567,-2.0772023584965797,-0.4582213231866341,0.43043134596330973,0.4590871611500142,-0.011474455727191224,0.03624607913843906,-0.008787562462617372,0.9993042582182143
418.567,-0.49840183170609337,-2.085417444947064,-0.49321781758975475,0.43834021832960635,0.48697020347090714,-0.01125752147008312,0.03638936485635376,-0.008692882040216095,0.9992998788788009
418.677,-0.4687551397748528,-2.0644354675350716,-0.5181884142239397,0.4287501669025676,0.49452002144436374,-0.010601170556325097,0.03602340037689405,-0.008175919252865472,0.9993175015827835
418.787,-0.5214574505426517,-2.0140502351637783,-0.549142337161118,0.4741461296557697,0.4874291091215549,-0.012981098109951341,0.03514456913186136,-0.009095401519553901,0.9993408492259955
418.897,-0.5375613685639488,-1.9979012365694049,-0.5717331722373625,0.49050086741425614,0.49322013894202066,-0.013564962102007522,0.034862888661219664,-0.009376374846174488,0.9993481188199332
419.007,-0.5615983670995285,-1.9742515320098277,-0.5965672268147548,0.5163008193156343,0.4914180593517685,-0.014691888841833001,0.03445037140938076,-0.00979576550735149,0.9993584016196996
419.117,-0.5644426292719357,-1.9167914993474788,-0.6266340899003059,0.5247207468888413,0.4789210251885417,-0.015381027699458474,0.033448082786936416,-0.009845710785096627,0.9993919590115854
419.227,-0.5513614702553252,-1.9260494024123922,-0.6503758117399581,0.5265302463085437,0.4968978511591445,-0.014906912522294941,0.03360957282834556,-0.009617487923739199,0.9993887634651156
419.337,-0.5612820114870718,-1.873829994190432,-0.6768787412734696,0.5346721805473504,0.4850133326711803,-0.01546818672308566,0.03269867329467791,-0.009790824058139172,0.9994172984939926
419.447,-0.5516235378807485,-1.876785919295369,-0.7059135176522486,0.5352174727142008,0.5001014307450794,-0.0150986772493198,0.0327502362888552,-0.009622333728067953,0.9994172465575376
419.557,-0.5497818414384678,-1.8804917580744387,-0.7307261975126004,0.5361389761590295,0.51423271384601,-0.014827016653820812,0.032814880612560715,-0.009590188442720152,0.9994154350899412
419.667,-0.5806176167636167,-1.8236900247523888,-0.7554354128603565,0.5546482036293205,0.5020123570902438,-0.015576363548979228,0.0318240212912653,-0.01012838291583712,0.9994421681760097
419.777,-0.6026429754382262,-1.807858272191889,-0.780606188307126,0.5693817191440923,0.5065496246577115,-0.01565913138007384,0.031547843828943434,-0.010512674834728918,0.9994469556797718
419.887,-0.6320904457277289,-1.7791621697629518,-0.8136285354310296,0.5869027986732073,0.5016837446918476,-0.016036565845704457,0.031047247720633074,-0.011026517421749418,0.9994570947882263
420.017,-0.6527554272759752,-1.7059204519311306,-0.8583365966308726,0.5969640118903613,0.4892689909243077,-0.016588746837628645,0.029769529825691452,-0.011387435694934465,0.9994919216293101
420.127,-0.6617642985859886,-1.6886116642404432,-0.891335642649208,0.6020266062057974,0.4926373561730734,-0.016316113146966023,0.029467567029021854,-0.011544693474809764,0.9994990658054478
420.237,-0.7129209800243828,-1.6570654187503129,-0.9275311582372642,0.6189906615946275,0.4888477447349872,-0.016119999223026496,0.028917215839001253,-0.012437294006982827,0.999504431378823
420.347,-0.7334783734082104,-1.6514681402994758,-0.9613617118767592,0.6240578041332737,0.4920322596161302,-0.01573191326594845,0.0288195656164384,-0.012795945693638126,0.9995027245643132
420.457,-0.7415008253794484,-1.624740699853257,-0.9859759753220629,0.6283178882408724,0.4921548496111681,-0.015570187950507705,0.02835327442382298,-0.012936066713541448,0.9995142570305989
420.567,-0.7667556703836301,-1.5935404803539488,-1.0138793967639201,0.6360582304612642,0.4942360085973523,-0.015095386637154427,0.02780894261602668,-0.013376836164787916,0.9995237480744512
420.677,-0.7909686219395864,-1.6178919091893111,-1.0458263119699691,0.6402410228074342,0.5113433304281595,-0.013614264203689528,0.028233788331499393,-0.013799065017406272,0.9995060975307242
420.787,-0.8190042241300166,-1.6013771565245938,-1.071056242032582,0.6452868254708124,0.515895513173058,-0.013176449663758827,0.02794566525992852,-0.014288250968701238,0.9995073214726521
420.897,-0.833440651150724,-1.6247034466584356,-1.098024636790685,0.6495274037923753,0.5299339865524803,-0.011972409031016207,0.028352624494309905,-0.014539922863448164,0.9994922307488986
421.007,-0.838331251210696,-1.6129999934159347,-1.129031019244917,0.6514547284181306,0.5302779126055748,-0.011963655230972937,0.02814844222871504,-0.01462532097188782,0.9994967559660041
421.117,-0.853626224396974,-1.589757682355699,-1.1535034924451704,0.6528291617305834,0.5328225265154368,-0.011756166609557375,0.027742945809141564,-0.014892302637623348,0.9995041512069774
421.227,-0.8691197132213426,-1.6229768761504435,-1.1856461707566295,0.6558440999585802,0.5471940659578758,-0.010631815866040374,0.02832250225580991,-0.015162333867483677,0.9994838365364698
