index,ax_g,ax_g_lowpass,ax_g_ai,ax_g_ai_kalman,ay_g,ay_g_lowpass,ay_g_ai,ay_g_ai_kalman,az_g,az_g_lowpass,az_g_ai,az_g_ai_kalman,gx_dps,gx_dps_lowpass,gx_dps_ai,gx_dps_ai_kalman,gy_dps,gy_dps_lowpass,gy_dps_ai,gy_dps_ai_kalman,gz_dps,gz_dps_lowpass,gz_dps_ai,gz_dps_ai_kalman
0,0.033274,0.03298295238095238,0.03596754688064867,0.03596754688064867,-0.015166,-0.014762285714285714,-0.0131515860077867,-0.0131515860077867,1.009685,1.0096900952380952,1.0068091303326239,1.0068091303326239,0.546726,0.5691329047619047,0.6086313507558347,0.6086313507558347,0.698287,0.7279267619047619,0.7331386507841071,0.7331386507841071,-0.225234,-0.2571477619047619,-0.2604592619652623,-0.2604592619652623
1,0.030922,0.032878571428571424,0.03594858646133657,0.03596101992679899,-0.012569,-0.014731047619047618,-0.013157871586322272,-0.013153749761675519,1.016971,1.0094606666666666,1.0068093181447213,1.0068091949852496,0.561651,0.5749816190476189,0.6094844100571232,0.6089250087493051,0.819984,0.7192445714285713,0.7305990234429535,0.7322644069091041,-0.301374,-0.26080147619047617,-0.2622850704359553,-0.26108778011301026
2,0.028395,0.032799523809523806,0.035930684911109345,0.035952920729794814,-0.015404,-0.014647857142857141,-0.013149154041479847,-0.013152522742589007,1.015746,1.0094848095238094,1.0068243942342838,1.0068132530583853,0.591843,0.5836649523809523,0.6095929050190777,0.609103331500893,0.743209,0.7199192380952381,0.7306546708217518,0.7318346207560467,-0.255377,-0.26005114285714287,-0.2616298493758929,-0.26123250809979986
3,0.035795,0.03259485714285714,0.03586696683894254,0.03593375351032703,-0.012263,-0.01446347619047619,-0.013084152749397216,-0.013137276630382522,1.007769,1.0093033809523808,1.006773791535754,1.006804453367559,0.623404,0.5894891904761904,0.6102757529536103,0.6093647746894462,0.759795,0.7250187619047618,0.7311527623659989,0.7316825702871452,-0.210163,-0.26223680952380946,-0.26232663045961535,-0.2614764910444607
4,0.031207,0.032698142857142856,0.035991655239810724,0.03594507277844504,-0.019305,-0.014496571428571426,-0.01308530543828387,-0.01312711672906312,1.011586,1.0090839523809523,1.006714019996739,1.0067867744557155,0.516363,0.5931813333333332,0.6103546260934462,0.609558281749404,0.820644,0.7323621904761904,0.7325962634299261,0.7318611890909865,-0.316935,-0.25863442857142854,-0.2602954984081362,-0.2612456175901589
5,0.033219,0.03267799999999999,0.03602667961478556,0.03595954062729621,-0.007622,-0.014377619047619047,-0.013019223099705112,-0.013107988567850708,1.000092,1.0089931428571428,1.0066683964418457,1.0067657875471576,0.652056,0.5938839047619048,0.6105530004917729,0.6097346326663048,0.665774,0.7337848095238094,0.7334283106916892,0.7321390197172808,-0.331223,-0.2586204285714286,-0.2601259889469595,-0.2610471217446434
6,0.037796,0.033084999999999996,0.036224518104852874,0.0360032032240667,-0.009951,-0.014358619047619047,-0.013008355858140332,-0.013091571237331345,1.000049,1.0086578095238095,1.0066101717300266,1.0067401454030134,0.561822,0.5975108095238095,0.6105272677007786,0.60986524189474,0.759136,0.7330473333333333,0.734285345172548,0.7324926880507395,-0.286205,-0.25643471428571424,-0.25888932834094663,-0.260691563739607
7,0.032584,0.033153809523809516,0.0362393296202356,0.03604002958901164,-0.013368,-0.014380095238095237,-0.013013719549192554,-0.013079429457651077,1.006564,1.0084846666666667,1.0066174480670746,1.0067210094785917,0.653425,0.6018076666666667,0.6112824895805581,0.6100862763972019,0.78967,0.7351446190476191,0.7354808201244247,0.7329587182957041,-0.270937,-0.25494338095238095,-0.25804625714819673,-0.2602790006907184
8,0.035722,0.03327928571428571,0.03618421272859179,0.03606160388840502,-0.01531,-0.014448238095238097,-0.013039042359420772,-0.013073386286782502,1.013056,1.008241761904762,1.0065922037022355,1.0067017361128514,0.576747,0.608383380952381,0.6120359116613661,0.6103780027045875,0.78923,0.7337324761904761,0.7343006406651703,0.7331595117799204,-0.33181,-0.2578700476190476,-0.26005857772422,-0.2602460185328443
9,0.028494,0.03339495238095238,0.03619307290972628,0.03608067079628404,-0.020535,-0.014459904761904762,-0.013046611142774604,-0.013069503096665809,1.015453,1.0080915238095236,1.0065576361249544,1.0066808373401444,0.638501,0.6083670952380951,0.612693880044368,0.6107138736151103,0.851179,0.7337115238095238,0.7337619639815025,0.7332468852197896,-0.301668,-0.25858771428571425,-0.26053098401641567,-0.26028734698094064
10,0.032494,0.03391314285714286,0.03631278922278095,0.03611355101122669,-0.016855,-0.01422695238095238,-0.012983305247522484,-0.013057292933732173,1.009671,1.0079419047619047,1.006523178205248,1.0066585044891023,0.561993,0.6098048095238094,0.6135649340905661,0.6111177341903444,0.606684,0.7329635714285714,0.7342233943995095,0.7333852104368231,-0.316837,-0.26003238095238096,-0.2618941678124231,-0.26051495758088655
11,0.031082,0.03416371428571428,0.03623262496602402,0.03613012105155104,-0.01451,-0.013967999999999998,-0.012873567887069557,-0.013031726205584319,1.004867,1.007483,1.0064163869805662,1.0066248120087735,0.669549,0.614166857142857,0.6145243740441508,0.6115917938606074,0.515961,0.7336905714285713,0.7343659950634894,0.7335216940267151,-0.301962,-0.2614863809523809,-0.26268799522835184,-0.26081735218519886
12,0.031614,0.034586571428571425,0.03635487418393046,0.03616098066914849,-0.013419,-0.014203999999999998,-0.012960000228581613,-0.013021877905813484,1.010192,1.0070759999999999,1.0062851519224312,1.0065781751487366,0.729076,0.6199910952380951,0.6156043281147328,0.6121427328903243,0.712455,0.734428095238095,0.7341868662337141,0.7336130251673632,-0.209477,-0.25858299999999995,-0.26142675544376115,-0.26090102599798526
13,0.028976,0.03506666666666666,0.03654828897462639,0.03621362484449353,-0.011294,-0.014040380952380948,-0.012866607131219506,-0.013000773008841034,1.005875,1.0064195238095237,1.0061332971038057,1.006517705911508,0.669035,0.6185778571428571,0.6158863962266361,0.6126515835044788,0.805377,0.7352074761904761,0.7343064424728829,0.7337072766504911,-0.271133,-0.2549712380952381,-0.2599169826955454,-0.26076727170604763
14,0.035443,0.03548947619047619,0.03662342092799386,0.03626890248622621,-0.015861,-0.014275380952380949,-0.012985848154432208,-0.012998759786196551,1.005077,1.0059665238095237,1.0060756686521986,1.0064580792380564,0.624261,0.6178264285714286,0.6161573984967375,0.6131244850106812,0.852499,0.7257249999999998,0.7323153082812485,0.7335195131946742,-0.149584,-0.2585922857142857,-0.2612208731767608,-0.2608284582829747
15,0.032851,0.0358917619047619,0.03669520799301232,0.03632607735427654,-0.012668,-0.01402747619047619,-0.012886528917508454,-0.01298370770498655,1.007778,1.005817619047619,1.0060288536284516,1.0064005127342175,0.56148,0.6178345714285713,0.617670322493357,0.6137341596550686,0.728162,0.7199194285714284,0.7321595850612435,0.7333371235460557,-0.22494,-0.25641590476190473,-0.2606102137556859,-0.2607991879548841
16,0.041821,0.03637928571428571,0.03676965514731738,0.03638531131926389,-0.014767,-0.014062571428571426,-0.012924198443688634,-0.012975761027863741,1.002643,1.005723095238095,1.0060356942260538,1.00635179603316,0.622891,0.6149672857142857,0.6168780096997607,0.6141539793719129,0.6828,0.7257878095238094,0.7330132186129836,0.7332938703134417,-0.179334,-0.25280419047619046,-0.25899977580735545,-0.26055890019067063
17,0.034719,0.03640285714285714,0.0366751686910659,0.036423891602697836,-0.015617,-0.014066761904761903,-0.01294433373501137,-0.012971578026209279,1.006049,1.005884095238095,1.006096140321982,1.006317768022289,0.63696,0.6187083809523809,0.6181118282234638,0.6146807727031718,0.74233,0.7266510476190475,0.7312548447722347,0.7330224741339354,-0.193916,-0.24922985714285711,-0.25715820668132805,-0.26010626474915416
18,0.035909,0.03657109523809523,0.03656592350269823,0.03644274963535395,-0.016597,-0.014309047619047617,-0.013027392728042353,-0.012978988723875484,1.004584,1.006099619047619,1.006159074975811,1.006296697835572,0.684816,0.6223271428571429,0.6186592383670837,0.6152090063986381,0.668632,0.7200870476190475,0.7290482499411692,0.7324948035922493,-0.286694,-0.2463125238095238,-0.2562130270887564,-0.2595893470501189
19,0.035703,0.03707514285714285,0.03660237058354066,0.03646390367134512,-0.015411,-0.014138714285714286,-0.012962203035337086,-0.012976764172126409,1.00653,1.0056387619047618,1.0060488244008414,1.0062638479896144,0.546384,0.6223679047619046,0.619733867936034,0.6158086713229759,0.697847,0.7106883333333331,0.7281133535280079,0.7319141445158225,-0.240305,-0.2456088571428571,-0.25561621495106523,-0.2590628010022736
